"xi", "ai", "Std. Error", "t Value"
"ZnO*Li2O", "3.862E+01", "8.428", "4.583"
"ZnO*K2O", "-1.957", "6.06", "-3.229E-01"
"ZnO*SrO", "2.455E+02", "8.974E+01", "2.736"
"ZnO*Sb2O3", "-7.555E+03", "4.219E+03", "-1.791"
"ZnO*La2O3", "9.745E+01", "2.429E+02", "4.012E-01"
"ZnO*TiO2", "1.740E+02", "4.964E+01", "3.506"
"ZnO*P2O5", "-8.262E-01", "1.342", "-6.158E-01"
"ZrO2*BaO", "2.605E+01", "4.166E+01", "6.252E-01"
"ZrO2*Li2O", "3.976E+01", "2.013E+01", "1.975"
"ZrO2*K2O", "-4.641E+01", "2.421E+01", "-1.917"
"ZrO2*SrO", "3.798", "4.174E+01", "9.101E-02"
"ZrO2*Sb2O3", "-4.110E+03", "4.842E+03", "-8.487E-01"
"ZrO2*La2O3", "-3.338E+02", "2.062E+02", "-1.619"
"ZrO2*TiO2", "6.634E+01", "2.923E+01", "2.27"
"ZrO2*P2O5", "6.065E+01", "2.322E+01", "2.612"
"BaO*Li2O", "-1.827E+01", "1.692E+01", "-1.08"
"BaO*K2O", "-1.158E+01", "2.926", "-3.957"
"BaO*SrO", "-6.505", "1.378E+01", "-4.722E-01"
"BaO*Sb2O3", "-3.029E+02", "1.516E+03", "-1.998E-01"
"BaO*La2O3", "1.264E+01", "1.057E+01", "1.196"
"BaO*TiO2", "2.709", "1.093E+01", "2.478E-01"
"BaO*P2O5", "1.482", "3.853", "3.846E-01"
"Li2O*K2O", "2.749E+01", "7.112", "3.866"
"Li2O*SrO", "2.487E+01", "2.028E+01", "1.226"
"Li2O*Sb2O3", "-3.213E+03", "1.578E+03", "-2.037"
"Li2O*La2O3", "6.283", "1.173E+01", "5.356E-01"
"Li2O*TiO2", "-2.468E+01", "1.605E+01", "-1.538"
"Li2O*P2O5", "-9.275E-01", "2.301", "-4.030E-01"
"K2O*SrO", "-5.715", "1.307E+01", "-4.372E-01"
"K2O*Sb2O3", "1.421E+03", "2.649E+03", "5.364E-01"
"K2O*La2O3", "-7.441", "1.284E+01", "-5.797E-01"
"K2O*TiO2", "1.669E+01", "7.298E+01", "2.287E-01"
"K2O*P2O5", "-3.746", "2.011", "-1.862"
"SrO*Sb2O3", "-2.300E+04", "2.324E+04", "-9.896E-01"
"SrO*La2O3", "-1.036E+01", "1.226E+01", "-8.444E-01"
"SrO*TiO2", "3.426", "1.655E+01", "2.070E-01"
"SrO*P2O5", "7.04", "5.304", "1.327"
"Sb2O3*La2O3", "-2.768E+02", "2.334E+03", "-1.186E-01"
"Sb2O3*TiO2", "-1.408E+02", "4.573E+03", "-3.079E-02"
"Sb2O3*P2O5", "-8.967E+02", "1.438E+03", "-6.236E-01"
"La2O3*TiO2", "-6.271E+01", "5.907E+01", "-1.062"
"La2O3*P2O5", "1.164", "1.051E+01", "1.108E-01"
"TiO2*P2O5", "4.239", "1.286E+01", "3.297E-01"
"Ge*Se", "-7.359E-02", "1.595", "-4.613E-02"
"Xx", "1.018", "1.404", "7.249E-01"
