"xi", "ai", "Std. Error", "t Value"
"Na2O*K2O*TiO2", "-2.485E+04", "3.926E+04", "-6.330E-01"
"ZrO2*BaO*Li2O", "2.060E+05", "6.465E+05", "3.187E-01"
"ZrO2*BaO*K2O", "-2.795E+05", "2.826E+05", "-9.888E-01"
"ZrO2*BaO*TiO2", "-2.822E+04", "7.888E+04", "-3.577E-01"
"ZrO2*Li2O*K2O", "2.065E+04", "3.956E+05", "5.219E-02"
"ZrO2*Li2O*TiO2", "-2.048E+05", "1.414E+05", "-1.448"
"ZrO2*K2O*TiO2", "-7.153E+05", "3.315E+05", "-2.157"
"BaO*Li2O*K2O", "-2.147E+05", "1.592E+05", "-1.348"
"BaO*Li2O*TiO2", "1.832E+05", "8.127E+04", "2.254"
"BaO*K2O*TiO2", "-1.706E+04", "1.075E+05", "-1.586E-01"
"Li2O*K2O*TiO2", "1.179E+05", "1.009E+05", "1.169"
"Xx", "6.974E+03", "1.944E+03", "3.587"
