No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, Liquidus Temperature ( C ), Liquidus Temperature (Predictive Value), Liquidus Temperature (Residual)
1, GJ03-008146, Glass Technology, 1987, v. 028  p. 0094, 61.22, 1.95, 7.27, 19.9, 4.93, 1200.0, , 
2, GJ03-008147, Glass Technology, 1987, v. 028  p. 0094, 61.53, 1.32, 6.08, 23.29, 3.86, 1245.0, , 
3, GJ02-008183, Glass Technology, 1986, v. 027  p. 0013, 70.91, 0.59, 5.53, 9.29, 13.02, 990.0, , 
4, GI02-016259, Proc. ICG, 1986, v. 001  p. 0090, 70.0, , , , 30.0, 859.0, , 
5, GI02-016260, Proc. ICG, 1986, v. 001  p. 0090, 67.0, , , , 33.0, 874.0, , 
6, GI02-016261, Proc. ICG, 1986, v. 001  p. 0090, 60.0, , , , 40.0, 950.0, , 
7, GI02-016262, Proc. ICG, 1986, v. 001  p. 0090, 50.0, , , , 50.0, 1088.0, , 
8, GI03-025024, Proc. ICG, 2001, v. 002  p. 0066, 42.86, 14.29, 42.85, , , 1547.0, , 
9, GP06-029649, Japanese Patent    AGC (J), 1983, A064243, 60.56, 13.77, 11.08, 11.38, , 1268.0, , 
10, GP06-029650, Japanese Patent    AGC (J), 1983, A064243, 49.52, 17.02, 24.61, 8.84, , 1390.0, , 
11, GP06-029651, Japanese Patent    AGC (J), 1983, A064243, 60.97, 22.62, 6.73, 9.67, , 1397.0, , 
12, GP06-029652, Japanese Patent    AGC (J), 1983, A064243, 71.35, 13.18, 6.35, 9.12, , 1313.0, , 
13, GP06-029653, Japanese Patent    AGC (J), 1983, A064243, 58.67, 15.08, 7.95, 18.29, , 1318.0, , 
14, GP06-029654, Japanese Patent    AGC (J), 1983, A064243, 53.46, 13.23, 14.34, 14.89, , 1283.0, , 
15, GP06-029655, Japanese Patent    AGC (J), 1983, A064243, 56.54, 13.45, 12.96, 13.97, , 1295.0, , 
16, GP03-030362, Japanese Patent    Nippon Electric Glass (J), 1982, A191251, 62.43, 11.25, 14.61, 11.06, , 1210.0, , 
17, GP03-030363, Japanese Patent    Nippon Electric Glass (J), 1982, A191251, 64.48, 11.71, 12.01, 9.21, , 1240.0, , 
18, GP03-030364, Japanese Patent    Nippon Electric Glass (J), 1982, A191251, 63.96, 11.62, 11.91, 9.13, , 1225.0, , 
19, GP06-030365, Japanese Patent    Nippon Electric Glass (J), 1982, A191251, 62.89, 13.1, 12.12, 9.29, , 1239.0, , 
20, GP06-030366, Japanese Patent    Nippon Electric Glass (J), 1982, A191251, 61.49, 13.26, 12.27, 9.41, , 1211.0, , 
21, GP06-030367, Japanese Patent    Nippon Electric Glass (J), 1982, A191251, 64.12, 13.35, 10.71, 8.29, , 1220.0, , 
22, GP06-030368, Japanese Patent    Nippon Electric Glass (J), 1982, A191251, 61.22, 14.49, 12.22, 9.37, , 1215.0, , 
23, GP06-030369, Japanese Patent    Nippon Electric Glass (J), 1982, A191251, 60.99, 14.97, 10.94, 8.47, , 1220.0, , 
24, GP06-030370, Japanese Patent    Nippon Electric Glass (J), 1982, A191251, 63.1, 13.14, 11.35, 8.74, 1.05, 1210.0, , 
25, GP06-030371, Japanese Patent    Nippon Electric Glass (J), 1982, A191251, 64.73, 13.48, 9.15, 8.37, , 1230.0, , 
26, GP03-030731, Japanese Patent    Saint-Gobain (FR), 1983, A049638, 46.55, 12.0, 0.48, 32.66, 4.59, 1230.0, , 
27, GP03-030732, Japanese Patent    Saint-Gobain (FR), 1983, A049638, 43.51, 12.3, 0.99, 33.96, 4.92, 1280.0, , 
28, GP03-030733, Japanese Patent    Saint-Gobain (FR), 1983, A049638, 42.84, 15.81, 0.66, 32.62, 4.26, 1330.0, , 
29, GP03-030734, Japanese Patent    Saint-Gobain (FR), 1983, A049638, 44.09, 11.42, 1.94, 36.91, 2.72, 1280.0, , 
30, GP03-030735, Japanese Patent    Saint-Gobain (FR), 1983, A049638, 44.47, 13.14, 0.82, 32.92, 4.51, 1260.0, , 
31, GP03-030736, Japanese Patent    Saint-Gobain (FR), 1983, A049638, 46.62, 11.66, 4.59, 29.22, 3.94, 1240.0, , 
32, GJ03-032231, Trans. Indian Ceramic Soc., 1986, v. 045  p. 0083, 45.37, , , 26.47, 26.88, 1110.0, , 
33, GJ03-032232, Trans. Indian Ceramic Soc., 1986, v. 045  p. 0083, 46.14, , , 26.91, 24.35, 1140.0, , 
34, GJ03-032233, Trans. Indian Ceramic Soc., 1986, v. 045  p. 0083, 46.92, , , 27.37, 21.73, 1145.0, , 
35, GJ03-032234, Trans. Indian Ceramic Soc., 1986, v. 045  p. 0083, 45.23, , , 29.62, 23.87, 1121.0, , 
36, GJ03-032235, Trans. Indian Ceramic Soc., 1986, v. 045  p. 0083, 47.07, , , 24.1, 24.84, 1133.0, , 
37, GJ02-032267, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 74.86, 0.92, , 10.38, 13.84, 978.0, , 
38, GJ02-032268, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 73.59, 0.92, , 11.66, 13.83, 1004.0, , 
39, GJ02-032269, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 73.88, 0.8, , 10.91, 14.41, 974.0, , 
40, GJ02-032270, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 73.96, 0.92, , 10.7, 14.42, 974.0, , 
41, GJ02-032271, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 73.75, 0.92, , 10.6, 14.73, 964.0, , 
42, GJ02-032272, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 73.68, 0.92, , 10.38, 15.02, 956.0, , 
43, GJ02-032792, Glass & Ceramics, 1981, v. 038  p. 0269, 69.67, , 5.63, 6.39, 13.99, 862.0, , 
44, GJ02-032793, Glass & Ceramics, 1981, v. 038  p. 0269, 70.93, 2.39, 5.0, 7.09, 13.81, 975.0, , 
45, GJ02-032794, Glass & Ceramics, 1981, v. 038  p. 0269, 71.07, 1.48, 4.95, 7.01, 14.73, 912.0, , 
46, GJ02-032795, Glass & Ceramics, 1981, v. 038  p. 0269, 71.9, 2.39, 0.45, 10.35, 14.29, 1025.0, , 
47, GJ02-032796, Glass & Ceramics, 1981, v. 038  p. 0269, 71.29, 2.37, 1.05, 10.58, 14.42, 975.0, , 
48, GJ02-032797, Glass & Ceramics, 1981, v. 038  p. 0269, 71.45, 1.58, 5.93, 6.39, 14.27, 887.0, , 
49, GJ02-032798, Glass & Ceramics, 1981, v. 038  p. 0269, 69.74, 2.66, 5.24, 7.75, 14.12, 1025.0, , 
50, GJ02-032799, Glass & Ceramics, 1981, v. 038  p. 0269, 71.35, 3.0, , 10.93, 14.34, 925.0, , 
51, GJ02-032800, Glass & Ceramics, 1981, v. 038  p. 0269, 65.32, 7.46, 6.17, 7.18, 13.43, 1200.0, , 
52, GJ02-032801, Glass & Ceramics, 1981, v. 038  p. 0269, 73.16, 1.9, , 10.64, 14.14, 1000.0, , 
53, GJ02-032802, Glass & Ceramics, 1981, v. 038  p. 0269, 69.86, 2.67, 5.71, 6.7, 14.38, 975.0, , 
54, GJ02-032803, Glass & Ceramics, 1981, v. 038  p. 0269, 71.41, 2.89, 0.45, 10.4, 14.36, 975.0, , 
55, GJ02-032804, Glass & Ceramics, 1981, v. 038  p. 0269, 72.18, 2.4, , 10.7, 14.42, 1012.0, , 
56, GJ02-032805, Glass & Ceramics, 1981, v. 038  p. 0269, 69.4, 2.86, 5.73, 6.73, 14.63, 1000.0, , 
57, GJ02-032806, Glass & Ceramics, 1981, v. 038  p. 0269, 71.55, 2.9, 0.61, 9.79, 14.43, 1025.0, , 
58, GJ02-032807, Glass & Ceramics, 1981, v. 038  p. 0269, 70.39, 2.37, 5.56, 6.8, 14.17, 937.0, , 
59, GJ02-032825, Glass & Ceramics, 1982, v. 039  p. 0263, 71.77, 1.46, 5.92, 7.45, 12.53, 987.0, , 
60, GJ02-032826, Glass & Ceramics, 1982, v. 039  p. 0263, 71.06, 1.46, 5.48, 8.53, 12.54, 1050.0, , 
61, GJ02-032827, Glass & Ceramics, 1982, v. 039  p. 0263, 71.04, 1.75, 5.91, 8.5, 12.5, 1037.0, , 
62, GJ02-032828, Glass & Ceramics, 1982, v. 039  p. 0263, 71.13, 1.16, 5.45, 9.11, 12.85, 1025.0, , 
63, GJ02-032829, Glass & Ceramics, 1982, v. 039  p. 0263, 72.43, 0.52, 4.87, 9.02, 12.87, 1025.0, , 
64, GJ02-032830, Glass & Ceramics, 1982, v. 039  p. 0263, 70.21, 1.47, 4.47, 10.71, 11.63, 1052.0, , 
65, GJ02-032833, Glass & Ceramics, 1982, v. 039  p. 0420, 71.86, 2.08, 5.36, 7.59, 13.09, 980.0, , 
66, GJ02-032834, Glass & Ceramics, 1982, v. 039  p. 0420, 71.67, 0.99, 5.16, 8.7, 13.15, 975.0, , 
67, GJ02-032910, Glass & Ceramics, 1988, v. 045  p. 0123, 62.48, 7.79, 6.21, 19.3, 2.01, 1275.0, , 
68, GJ03-032911, Glass & Ceramics, 1988, v. 045  p. 0123, 63.66, 9.24, 6.23, 16.8, 2.63, 1225.0, , 
69, GJ03-032912, Glass & Ceramics, 1988, v. 045  p. 0123, 57.73, 9.59, 6.26, 21.93, 2.74, 1175.0, , 
70, GJ03-032913, Glass & Ceramics, 1988, v. 045  p. 0123, 61.93, 7.66, 6.15, 20.24, 2.6, 1225.0, , 
71, GJ03-032914, Glass & Ceramics, 1988, v. 045  p. 0123, 63.97, 9.23, 7.15, 16.91, 2.06, 1225.0, , 
72, GJ03-032915, Glass & Ceramics, 1988, v. 045  p. 0123, 60.07, 11.51, 11.02, 14.02, 2.04, 1250.0, , 
73, GJ03-032916, Glass & Ceramics, 1988, v. 045  p. 0123, 63.96, 9.16, 7.88, 15.86, 2.25, 1275.0, , 
74, GJ03-032918, Glass & Ceramics, 1988, v. 045  p. 0123, 62.39, 9.25, 7.75, 17.27, 2.02, 1275.0, , 
75, GJ03-032919, Glass & Ceramics, 1988, v. 045  p. 0123, 59.67, 9.66, 7.09, 21.53, 2.04, 1225.0, , 
76, GJ02-032962, Glass & Ceramics, 1988, v. 045  p. 0283, 71.72, 1.37, 6.1, 6.52, 12.8, 1000.0, , 
77, GJ02-032965, Glass & Ceramics, 1988, v. 045  p. 0283, 71.89, 1.37, 6.09, 6.51, 12.77, 1000.0, , 
78, GP03-035499, Japanese Patent    PPG Industries (US), 1986, A014152, 60.53, 7.31, 5.19, 24.84, 0.89, 1149.0, , 
79, GP06-036116, Japanese Patent    Ohara Inc. (J), 1986, A261232, 58.99, 20.45, 10.69, 6.19, , 1170.0, , 
80, GP06-036117, Japanese Patent    Ohara Inc. (J), 1986, A261232, 59.32, 22.62, 10.75, 3.73, , 1200.0, , 
81, GP06-036119, Japanese Patent    Ohara Inc. (J), 1986, A261232, 59.36, 17.16, 17.86, 2.4, , 1215.0, , 
82, GP06-036120, Japanese Patent    Ohara Inc. (J), 1986, A261232, 61.47, 16.46, 12.0, 5.98, , 1100.0, , 
83, GP06-036121, Japanese Patent    Ohara Inc. (J), 1986, A261232, 62.37, 18.04, 10.14, 6.32, , 1132.0, , 
84, GP06-036123, Japanese Patent    Ohara Inc. (J), 1986, A261232, 63.07, 17.9, 5.22, 10.01, , 1157.0, , 
85, GP06-036126, Japanese Patent    Ohara Inc. (J), 1986, A261232, 67.4, 17.01, 8.37, 4.81, , 1250.0, , 
86, GP06-036127, Japanese Patent    Ohara Inc. (J), 1986, A261232, 65.57, 17.99, 6.74, 6.05, , 1298.0, , 
87, GP06-036128, Japanese Patent    Ohara Inc. (J), 1986, A261232, 67.3, 17.64, 7.52, 5.4, , 1260.0, , 
88, GP06-036129, Japanese Patent    Ohara Inc. (J), 1986, A261232, 59.71, 15.99, 13.75, 8.14, , 1230.0, , 
89, GP06-036130, Japanese Patent    Ohara Inc. (J), 1986, A261232, 69.19, 16.17, 9.82, 3.52, , 1230.0, , 
90, GP06-036345, Japanese Patent    Ohara Inc. (J), 1986, A236631, 66.16, 15.59, 11.5, 2.36, , 1290.0, , 
91, GP06-036346, Japanese Patent    Ohara Inc. (J), 1986, A236631, 63.23, 21.68, 7.71, 3.94, , 1300.0, , 
92, GP06-036347, Japanese Patent    Ohara Inc. (J), 1986, A236631, 61.05, 16.06, 16.25, 4.67, , 1289.0, , 
93, GP06-036348, Japanese Patent    Ohara Inc. (J), 1986, A236631, 63.63, 20.46, 8.62, 3.71, , 1298.0, , 
94, GP06-036349, Japanese Patent    Ohara Inc. (J), 1986, A236631, 73.82, 15.63, 3.44, 4.44, , 1298.0, , 
95, GP06-036350, Japanese Patent    Ohara Inc. (J), 1986, A236631, 63.1, 15.06, 12.97, 4.89, , 1300.0, , 
96, GP06-036351, Japanese Patent    Ohara Inc. (J), 1986, A236631, 65.12, 15.98, 11.32, 5.81, , 1290.0, , 
97, GP06-036352, Japanese Patent    Ohara Inc. (J), 1986, A236631, 68.05, 15.71, 8.92, 5.83, , 1280.0, , 
98, GP06-036353, Japanese Patent    Ohara Inc. (J), 1986, A236631, 64.09, 19.23, 8.68, 4.99, , 1295.0, , 
99, GP06-036354, Japanese Patent    Ohara Inc. (J), 1986, A236631, 64.85, 15.15, 10.83, 5.99, , 1300.0, , 
100, GP06-036355, Japanese Patent    Ohara Inc. (J), 1986, A236631, 66.63, 16.03, 11.09, 4.76, , 1270.0, , 
101, GP06-036356, Japanese Patent    Ohara Inc. (J), 1986, A236631, 68.25, 15.76, 10.9, 3.5, , 1298.0, , 
102, GP06-036357, Japanese Patent    Ohara Inc. (J), 1986, A236631, 67.31, 14.59, 12.04, 4.96, , 1198.0, , 
103, GP06-036358, Japanese Patent    Ohara Inc. (J), 1986, A236631, 67.74, 15.01, 10.82, 4.64, , 1250.0, , 
104, GP06-036359, Japanese Patent    Ohara Inc. (J), 1986, A236631, 67.53, 15.72, 11.36, 3.49, , 1283.0, , 
105, GP06-036360, Japanese Patent    Ohara Inc. (J), 1986, A236631, 65.39, 16.37, 9.74, 7.0, , 1260.0, , 
106, GP06-036361, Japanese Patent    Ohara Inc. (J), 1986, A236631, 65.02, 15.96, 10.01, 8.35, , 1270.0, , 
107, GP06-036362, Japanese Patent    Ohara Inc. (J), 1986, A236631, 64.95, 15.89, 8.2, 9.19, , 1280.0, , 
108, GP06-036363, Japanese Patent    Ohara Inc. (J), 1986, A236631, 66.47, 15.73, 8.93, 7.59, , 1265.0, , 
109, GI09-037468, Proc. ICG, 1986, v. 001  p. 0379, 77.58, , , 5.39, 16.6, 1200.0, , 
110, GI09-037469, Proc. ICG, 1986, v. 001  p. 0379, 75.45, , , 7.54, 16.58, 1105.0, , 
111, GI09-037470, Proc. ICG, 1986, v. 001  p. 0379, 73.34, , , 9.68, 16.55, 1085.0, , 
112, GI09-037471, Proc. ICG, 1986, v. 001  p. 0379, 71.23, , , 11.82, 16.53, 988.0, , 
113, GI09-037472, Proc. ICG, 1986, v. 001  p. 0379, 69.12, , , 13.95, 16.51, 1024.0, , 
114, GI09-037473, Proc. ICG, 1986, v. 001  p. 0379, 67.02, , , 16.07, 16.48, 1055.0, , 
115, GI09-037474, Proc. ICG, 1986, v. 001  p. 0379, 62.84, , , 20.31, 16.43, 1130.0, , 
116, GI09-037475, Proc. ICG, 1986, v. 001  p. 0379, 70.93, , , 16.05, 12.59, 1123.0, , 
117, GI09-037476, Proc. ICG, 1986, v. 001  p. 0379, 72.89, , , 16.04, 10.64, 1260.0, , 
118, GI09-037477, Proc. ICG, 1986, v. 001  p. 0379, 73.86, , , 16.04, 9.67, 1309.0, , 
119, GI09-037478, Proc. ICG, 1986, v. 001  p. 0379, 69.67, , , 20.26, 9.65, 1211.0, , 
120, GI09-037479, Proc. ICG, 1986, v. 001  p. 0379, 70.64, , , 20.26, 8.68, 1268.0, , 
121, GI09-037480, Proc. ICG, 1986, v. 001  p. 0379, 61.67, , , 23.44, 14.46, 1158.0, , 
122, GI09-037481, Proc. ICG, 1986, v. 001  p. 0379, 66.88, , , 18.18, 14.52, 1119.0, , 
123, GI09-037482, Proc. ICG, 1986, v. 001  p. 0379, 72.13, , , 12.88, 14.57, 1046.0, , 
124, GI09-037483, Proc. ICG, 1986, v. 001  p. 0379, 74.24, , , 10.75, 14.59, 1119.0, , 
125, GI09-037484, Proc. ICG, 1986, v. 001  p. 0379, 77.3, , , 9.14, 13.14, 1252.0, , 
126, GI09-037485, Proc. ICG, 1986, v. 001  p. 0379, 71.84, , , 17.1, 10.64, 1200.0, , 
127, GI09-037486, Proc. ICG, 1986, v. 001  p. 0379, 74.17, , , 11.81, 13.6, 1103.0, , 
128, GI09-037487, Proc. ICG, 1986, v. 001  p. 0379, 69.29, , , 18.69, 11.6, 1206.0, , 
129, GI09-037488, Proc. ICG, 1986, v. 001  p. 0379, 73.64, , , 12.34, 13.59, 1162.0, , 
130, GI09-037489, Proc. ICG, 1986, v. 001  p. 0379, 71.64, , , 12.88, 15.05, 1014.0, , 
131, GI09-037490, Proc. ICG, 1986, v. 001  p. 0379, 71.53, , , 11.87, 16.6, 1001.0, , 
132, GI09-037491, Proc. ICG, 1986, v. 001  p. 0379, 75.78, , , 7.57, 16.65, 1066.0, , 
133, GI09-037492, Proc. ICG, 1986, v. 001  p. 0379, 69.27, , , 16.13, 14.6, 1090.0, , 
134, GI09-037493, Proc. ICG, 1986, v. 001  p. 0379, 68.98, , , 16.06, 14.54, 1079.0, , 
135, GJ03-041022, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 80.3, 2.5, , 17.2, , 1342.0, , 
136, GJ03-041023, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 72.5, 3.9, , 23.6, , 1230.0, , 
137, GJ03-041024, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 69.2, 4.9, , 25.9, , 1130.0, , 
138, GJ03-041025, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 67.8, 5.6, , 26.6, , 1013.0, , 
139, GJ03-041026, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 65.4, 6.8, , 27.8, , 929.0, , 
140, GJ03-041027, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 76.4, 3.1, , 17.6, 0.4, 1221.0, , 
141, GJ03-041028, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 75.5, 4.0, , 17.4, 0.4, 1075.0, , 
142, GJ03-041029, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 73.3, 4.8, , 18.3, 0.4, 924.0, , 
143, GJ03-041030, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 71.34, 5.05, , 18.67, 0.5, 775.0, , 
144, GJ03-041032, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 77.8, 2.1, , 18.0, 2.1, 1260.0, , 
145, GJ03-041033, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 77.4, 3.1, , 16.7, 2.8, 1043.0, , 
146, GJ03-041034, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 72.9, 4.2, , 19.2, 3.7, 929.0, , 
147, GJ03-041035, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 73.29, 5.02, , 17.07, 4.62, 805.0, , 
148, GJ03-041036, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 68.0, 6.0, , 20.0, 6.0, 740.0, , 
149, GJ03-041037, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 78.7, 2.0, , 17.3, , 1246.0, , 
150, GJ03-041038, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 76.0, 3.1, , 18.0, , 1113.0, , 
151, GJ03-041039, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 72.8, 4.0, , 19.1, , 1042.0, , 
152, GJ03-041044, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 76.0, 2.0, , 20.0, , 1265.0, , 
153, GJ03-041045, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 74.0, 3.0, , 20.0, , 1216.0, , 
154, GJ03-041046, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 72.0, 4.0, , 20.0, , 1158.0, , 
155, GJ03-041047, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 70.0, 5.0, , 20.0, , 1123.0, , 
156, GJ03-041050, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 76.0, 2.0, , 20.0, , 1326.0, , 
157, GJ03-041051, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 74.0, 3.0, , 20.0, , 1245.0, , 
158, GJ03-041052, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 72.0, 4.0, , 20.0, , 1200.0, , 
159, GJ03-041053, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 70.0, 5.0, , 20.0, , 1182.0, , 
160, GJ03-041055, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 83.0, , , 17.0, , 2041.0, , 
161, GJ03-041056, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 82.0, , , 18.0, , 2022.0, , 
162, GJ03-041057, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 81.0, , , 19.0, , 2003.0, , 
163, GJ03-041058, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 80.0, , , 20.0, , 1984.0, , 
164, GJ03-041059, Glass Physics & Chemistry, 1981, v. 007  p. 0204, 79.0, , , 21.0, , 1962.0, , 
165, GJ02-046451, J. Non-Crystalline Solids, 1983, v. 057  p. 0465, 66.69, , , , 33.31, 874.0, , 
166, GJ02-046452, J. Non-Crystalline Solids, 1983, v. 057  p. 0465, 70.74, , , , 29.25, 865.0, , 
167, GJ02-046453, J. Non-Crystalline Solids, 1983, v. 057  p. 0465, 74.99, , , , 25.01, 811.0, , 
168, GJ02-046454, J. Non-Crystalline Solids, 1983, v. 057  p. 0465, 79.9, , , , 20.09, 1130.0, , 
169, GJ02-046455, J. Non-Crystalline Solids, 1983, v. 057  p. 0465, 85.0, , , , 15.0, 1346.0, , 
170, GP06-048548, Japanese Patent    Corning Inc. (US), 1980, A003390, 63.16, 12.94, 3.27, 3.76, 13.84, 1058.0, , 
171, GP06-048550, Japanese Patent    Corning Inc. (US), 1980, A003390, 61.19, 9.55, 10.13, 7.84, 8.62, 1167.0, , 
172, GP03-048551, Japanese Patent    Corning Inc. (US), 1980, A003390, 64.99, 8.93, , 26.08, , 1139.0, , 
173, GP06-048560, Japanese Patent    Corning Inc. (US), 1980, A003390, 64.94, 9.03, , 15.96, 5.09, 1140.0, , 
174, GP03-048562, Japanese Patent    Corning Inc. (US), 1980, A003390, 65.1, 8.93, , 25.97, , 1076.0, , 
175, GP03-048566, Japanese Patent    Res. Dev. Corp. Japan (JRDC) (J), 1980, A003367, 53.43, 7.11, 8.14, 25.42, 3.0, 1200.0, , 
176, GP03-048567, Japanese Patent    Res. Dev. Corp. Japan (JRDC) (J), 1980, A003367, 54.17, 6.81, 6.27, 25.92, 2.55, 1190.0, , 
177, GP03-048568, Japanese Patent    Res. Dev. Corp. Japan (JRDC) (J), 1980, A003367, 54.06, 6.55, 4.74, 27.26, 2.57, 1190.0, , 
178, GP03-048569, Japanese Patent    Res. Dev. Corp. Japan (JRDC) (J), 1980, A003367, 53.53, 6.49, 9.38, 23.61, 2.03, 1200.0, , 
179, GP03-048570, Japanese Patent    Res. Dev. Corp. Japan (JRDC) (J), 1980, A003367, 53.6, 8.67, 7.83, 24.77, 1.53, 1170.0, , 
180, GP03-048572, Japanese Patent    Res. Dev. Corp. Japan (JRDC) (J), 1980, A003367, 53.76, 6.49, 7.82, 24.75, 2.54, 1240.0, , 
181, GP03-048573, Japanese Patent    Res. Dev. Corp. Japan (JRDC) (J), 1980, A003367, 54.13, 6.94, 1.6, 29.86, 2.59, 1210.0, , 
182, GP03-048989, Japanese Patent    AIST (J), 1979, A110216, 61.66, 6.89, , 24.26, 2.83, 1150.0, , 
183, GP03-048990, Japanese Patent    AIST (J), 1979, A110216, 61.87, 6.92, , 24.32, 2.88, 1150.0, , 
184, GP03-048991, Japanese Patent    AIST (J), 1979, A110216, 61.7, 6.91, , 24.24, 2.87, 1150.0, , 
185, GP03-048992, Japanese Patent    AIST (J), 1979, A110216, 61.23, 6.86, , 24.06, 2.85, 1200.0, , 
186, GP02-049290, Japanese Patent    AGC (J), 1979, A040815, 72.13, 1.16, 5.89, 7.41, 13.41, 980.0, , 
187, GP02-050115, Japanese Patent    Pilkington (GB), 1980, A140735, 74.79, , , 6.46, 15.53, 970.0, , 
188, GP02-050120, Japanese Patent    Pilkington (GB), 1980, A140735, 70.1, 0.74, 5.81, 8.37, 12.59, 900.0, , 
189, GP02-050636, Japanese Patent    Saint-Gobain (FR), 1980, A113646, 65.9, 3.22, 5.25, 5.92, 15.46, 960.0, , 
190, GP02-050637, Japanese Patent    Saint-Gobain (FR), 1980, A113646, 65.42, 3.16, 5.21, 6.14, 15.38, 1015.0, , 
191, GP02-050639, Japanese Patent    Saint-Gobain (FR), 1980, A113646, 60.67, 2.95, 5.7, 5.53, 23.12, 1040.0, , 
192, GJ02-053229, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 80.81, , , 3.48, 15.71, 1240.0, , 
193, GJ02-053230, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 78.89, , , 5.25, 15.85, 1230.0, , 
194, GJ02-053231, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 78.84, , , 3.21, 17.95, 1120.0, , 
195, GJ02-053232, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 75.33, , , 9.9, 14.76, 1100.0, , 
196, GJ02-053233, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 74.28, , , 13.88, 11.84, 1140.0, , 
197, GJ02-053234, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 73.87, , , 11.41, 14.72, 1000.0, , 
198, GJ02-053235, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 73.79, , , 2.33, 23.87, 780.0, , 
199, GJ02-053236, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 71.69, , , 14.61, 13.7, 1050.0, , 
200, GJ02-053237, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 71.14, , , 17.22, 11.64, 1125.0, , 
201, GJ02-053238, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 70.67, , , 6.98, 22.35, 860.0, , 
202, GJ02-053239, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 69.7, , , 15.82, 14.48, 1075.0, , 
203, GJ02-053240, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 67.99, , , 10.2, 21.81, 950.0, , 
204, GJ02-053241, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 67.75, , , 3.53, 28.72, 870.0, , 
205, GJ02-053242, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 66.46, , , 22.4, 11.13, 1200.0, , 
206, GJ02-053243, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 66.35, , , 12.61, 21.04, 1092.0, , 
207, GJ02-053244, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 65.47, , , 21.12, 13.4, 1180.0, , 
208, GJ02-053245, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 65.66, , , 17.07, 17.27, 1083.0, , 
209, GJ02-053246, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 66.03, , , 5.92, 28.05, 920.0, , 
210, GJ02-053247, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 64.84, , , 9.08, 26.08, 1005.0, , 
211, GJ02-053248, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 63.89, , , 15.62, 20.49, 995.0, , 
212, GJ02-053249, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 63.26, , , 13.12, 23.62, 1060.0, , 
213, GJ02-053250, J. Non-Crystalline Solids, 1971, v. 006  p. 0145, 62.38, , , 20.9, 16.71, 1150.0, , 
