"xi", "ai", "Std. Error", "t Value"
"CaO*Na2O*Li2O", "-2.938E+02", "3.669E+02", "-8.009E-01"
"CaO*Na2O*K2O", "8.287E+01", "5.854E+01", "1.416"
"CaO*ZrO2*Li2O", "-1.481E+03", "2.374E+03", "-6.239E-01"
"CaO*ZrO2*K2O", "1.903E+03", "2.319E+03", "8.204E-01"
"CaO*Li2O*K2O", "-5.547E+03", "1.427E+03", "-3.888"
"Na2O*ZrO2*Li2O", "2.494E+03", "1.022E+03", "2.44"
"Na2O*ZrO2*K2O", "-4.568E+03", "1.894E+03", "-2.411"
"Na2O*Li2O*K2O", "1.140E+03", "5.102E+02", "2.235"
"ZrO2*Li2O*K2O", "5.130E+03", "2.508E+03", "2.046"
"Xx", "-5.834E-01", "1.432", "-4.073E-01"
