"xi", "ai", "Std. Error", "t Value"
"SrO*La2O3", "-4.810E+04", "1.013E+04", "-4.749"
"SrO*TiO2", "6.115E+03", "1.042E+03", "5.869"
"SrO*P2O5", "4.623E+03", "1.138E+03", "4.062"
"SrO*Nb2O5", "4.408E+03", "9.030E+03", "4.881E-01"
"Sb2O3*La2O3", "-4.012E+05", "2.748E+05", "-1.46"
"Sb2O3*TiO2", "-1.032E+05", "1.512E+05", "-6.829E-01"
"Sb2O3*P2O5", "-8.915E+04", "2.451E+05", "-3.637E-01"
"Sb2O3*Nb2O5", "1.191E+05", "2.709E+05", "4.396E-01"
"La2O3*TiO2", "-4.692E+02", "1.056E+03", "-4.442E-01"
"La2O3*P2O5", "3.133E+03", "7.478E+02", "4.189"
"La2O3*Nb2O5", "-6.594E+03", "5.470E+03", "-1.205"
"TiO2*P2O5", "3.490E+03", "5.470E+02", "6.381"
"TiO2*Nb2O5", "-3.701E+03", "1.228E+03", "-3.014"
"P2O5*Nb2O5", "-1.965E+03", "1.765E+03", "-1.113"
"Xx", "7.886E+03", "1.485E+03", "5.309"
